a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202009300000 0.92 2.22 0.95 2.81 4
202009300100 0.92 2.22 0.96 3.03 4
202009300200 0.9 1.89 0.93 2.41 4
202009300300 0.88 1.59 0.9 1.89 4
202009300400 0.86 1.33 0.88 1.59 4
202009300500 0.85 1.21 0.87 1.46 4
202009300600 0.85 1.21 0.87 1.46 4
202009300700 0.85 1.21 0.86 1.33 4
202009300800 0.85 1.21 0.87 1.46 4
202009300900 0.85 1.21 0.87 1.46 4
202009301000 0.86 1.33 0.89 1.73 4
202009301100 0.92 2.22 0.96 3.03 4
202009301200 0.94 2.6 0.97 3.27 4
202009301300 0.94 2.6 0.98 3.9 4
202009301400 0.95 2.81 0.99 4.26 4
202009301500 0.94 2.6 0.96 3.03 4
202009301600 0.94 2.6 0.98 3.9 4
202009301700 0.95 2.81 0.98 3.9 4
202009301800 0.94 2.6 0.97 3.27 4
202009301900 0.93 2.41 0.97 3.27 4
202009302000 0.93 2.41 0.98 3.9 4
202009302100 0.93 2.41 0.96 3.03 4
202009302200 0.93 2.41 0.96 3.03 4
202009302300 0.93 2.41 0.96 3.03 4
202010010000 0.93 2.41 0.97 3.27 4
202010010100 0.92 2.22 0.95 2.81 4
202010010200 0.91 2.05 0.95 2.81 4
202010010300 0.9 1.89 0.94 2.6 4
202010010400 0.9 1.89 0.92 2.22 4
202010010500 0.9 1.89 0.92 2.22 4
202010010600 0.89 1.73 0.93 2.41 4
202010010700 0.86 1.33 0.89 1.73 4
202010010800 0.85 1.21 0.87 1.46 4
202010010900 0.85 1.21 0.89 1.73 4
202010011000 0.87 1.46 0.93 2.41 4
202010011100 0.94 2.6 0.97 3.27 4
202010011200 0.94 2.6 0.98 3.9 4
202010011300 0.95 2.81 0.97 3.27 4
202010011400 0.94 2.6 0.99 4.26 4
202010011500 0.94 2.6 0.99 4.26 4
202010011600 0.94 2.6 0.99 4.26 4
202010011700 0.94 2.6 0.97 3.27 4
202010011800 0.94 2.6 0.99 4.26 4
202010011900 0.94 2.6 0.97 3.27 4
202010012000 0.95 2.81 0.99 4.26 4
202010012100 0.96 3.03 1 4.62 4
202010012200 0.96 3.03 1 4.62 4
202010012300 0.96 3.03 1.01 5 4
202010020000 0.95 2.81 1 4.62 4
202010020100 1.02 5.38 1.08 7.93 4
202010020200 1.1 8.86 1.19 13.52 4
202010020300 1.44 29.59 2.35 110.2 4
202010020400 3.97 330.57 4.73 473.5 4
202010020500 4.49 425.33 4.79 485.99 4
202010020600 3.94 325.49 4.21 372.71 4
202010020700 3.35 233.65 3.62 273.8 4
202010020800 3.19 211.29 3.33 230.8 4
202010020900 3.76 295.86 4.21 372.71 4
202010021000 4.49 425.33 4.67 461.18 4
202010021100 4.15 361.92 4.56 439.08 4
202010021200 3.47 251.11 3.79 300.69 4
202010021300 3.08 196.52 3.25 219.55 4
202010021400 2.83 164.71 2.97 182.23 4
202010021500 2.65 143.29 2.75 155.04 4
202010021600 2.49 125.24 2.59 136.41 4
202010021700 2.37 112.31 2.46 121.96 4
202010021800 2.28 102.94 2.36 111.25 4
202010021900 2.19 93.84 2.25 99.88 4
202010022000 2.11 85.99 2.18 92.85 4
202010022100 2.04 79.29 2.1 85.02 4
202010022200 1.96 71.82 2.04 79.29 4
202010022300 1.9 66.36 1.97 72.74 4
