aaaammgghhpp	AULE00	BOVARA	MAGR01	STUVIG	ARGCAP	GATTOR	LICTAV	BAGNON	PTEGLI	SCRI01	NERVMA	BUSALT	
202202080000	0.00	0.00	1.80	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202080100	0.00	0.00	1.71	1.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202080200	0.01	0.03	1.73	1.15	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	
202202080300	0.15	0.14	1.75	1.09	0.00	0.00	0.01	0.00	0.00	0.07	0.00	0.00	
202202080400	0.48	0.30	1.72	1.11	0.00	0.02	0.05	0.00	0.00	0.12	0.00	0.00	
202202080500	0.56	0.63	1.69	1.12	0.00	0.10	0.07	0.00	0.00	0.90	0.01	0.00	
202202080600	0.81	1.63	1.69	1.18	0.00	0.48	0.17	0.00	0.00	2.21	0.01	0.00	
202202080700	1.18	3.57	1.86	1.46	0.00	0.79	0.34	0.00	0.00	4.11	0.01	0.00	
202202080800	1.62	5.46	1.98	1.73	0.00	0.91	0.43	0.00	0.06	5.46	0.01	0.00	
202202080900	1.92	7.65	2.14	2.11	0.00	0.95	0.48	0.00	0.11	7.06	0.01	0.00	
202202081000	2.25	10.24	2.43	2.51	0.00	1.06	0.61	0.00	0.18	8.91	0.01	0.00	
202202081100	2.46	12.65	2.69	2.73	0.00	1.30	0.65	0.03	0.23	10.52	0.01	0.00	
202202081200	2.89	15.18	2.89	3.09	0.00	1.42	0.70	0.04	0.26	11.87	0.01	0.00	
202202081300	3.20	17.12	3.01	3.46	0.00	1.52	0.73	0.04	0.27	12.66	0.01	0.00	
202202081400	3.57	18.62	3.28	3.87	0.00	1.64	0.84	0.05	0.28	13.40	0.01	0.00	
202202081500	3.94	19.75	3.53	4.25	0.00	1.88	0.86	0.09	0.31	13.86	0.01	0.00	
202202081600	4.06	20.97	3.78	4.68	0.00	2.03	0.90	0.11	0.33	14.31	0.01	0.00	
202202081700	4.27	22.25	3.95	5.10	0.00	2.17	0.97	0.14	0.34	14.72	0.01	0.00	
202202081800	4.44	23.50	4.14	5.48	0.00	2.34	1.10	0.14	0.36	14.96	0.01	0.00	
202202081900	4.63	24.64	4.25	5.74	0.00	2.50	1.22	0.14	0.36	15.03	0.01	0.00	
202202082000	4.83	25.55	4.41	5.95	0.00	2.66	1.23	0.17	0.43	15.18	0.01	0.01	
202202082100	4.98	26.55	4.72	6.08	0.00	2.69	1.28	0.17	0.47	15.37	0.01	0.02	
202202082200	5.13	27.30	5.10	6.20	0.00	2.69	1.29	0.17	0.48	15.42	0.01	0.02	
202202082300	5.33	27.90	5.34	6.36	0.00	2.76	1.31	0.17	0.50	15.36	0.01	0.02	
202202090000	5.51	28.44	5.58	6.46	0.00	2.91	1.34	0.17	0.52	15.35	0.01	0.02	
202202090100	5.63	28.76	5.80	6.57	0.00	2.95	1.39	0.17	0.52	15.31	0.01	0.02	
202202090200	5.88	29.19	6.09	6.64	0.00	2.99	1.42	0.17	0.53	15.29	0.01	0.02	
202202090300	6.00	29.45	6.25	6.72	0.00	3.02	1.41	0.19	0.55	15.16	0.01	0.02	
202202090400	6.15	29.63	6.46	6.74	0.00	3.05	1.42	0.22	0.56	15.03	0.01	0.02	
202202090500	6.32	29.81	6.68	6.73	0.00	3.06	1.44	0.22	0.55	14.93	0.01	0.02	
202202090600	6.40	29.85	6.86	6.78	0.00	3.06	1.46	0.24	0.55	14.77	0.01	0.02	
202202090700	6.51	30.06	7.07	6.84	0.00	3.06	1.49	0.26	0.55	14.61	0.01	0.02	
202202090800	6.56	30.24	7.35	6.82	0.00	3.08	1.49	0.29	0.57	14.47	0.01	0.02	
202202090900	6.66	30.28	7.60	6.82	0.00	3.07	1.58	0.29	0.59	14.31	0.01	0.01	
202202091000	6.87	30.31	7.88	6.81	0.00	3.13	1.58	0.29	0.59	14.13	0.01	0.01	
202202091100	6.95	30.32	8.06	6.85	0.00	3.20	1.59	0.29	0.58	13.97	0.01	0.01	
202202091200	7.03	30.32	8.17	6.89	0.00	3.20	1.61	0.29	0.59	13.79	0.01	0.01	
202202091300	7.16	30.27	8.18	6.93	0.00	3.21	1.64	0.31	0.59	13.61	0.01	0.03	
202202091400	7.26	30.20	8.27	6.94	0.00	3.26	1.65	0.34	0.59	13.44	0.01	0.03	
202202091500	7.35	30.04	8.34	6.91	0.00	3.26	1.74	0.35	0.59	13.27	0.01	0.03	
202202091600	7.38	29.87	8.43	6.87	0.00	3.27	1.82	0.41	0.58	13.09	0.01	0.03	
202202091700	7.42	29.76	8.55	6.84	0.00	3.27	1.84	0.40	0.58	12.92	0.01	0.03	
202202091800	7.48	29.72	8.66	6.82	0.00	3.28	1.86	0.40	0.57	12.75	0.01	0.03	
202202091900	7.57	29.53	8.68	6.83	0.00	3.27	1.86	0.43	0.59	12.58	0.01	0.03	
202202092000	7.63	29.30	8.71	6.79	0.00	3.27	1.91	0.44	0.59	12.42	0.01	0.03	
202202092100	7.64	29.09	8.75	6.78	0.00	3.28	1.94	0.44	0.58	12.26	0.01	0.03	
202202092200	7.70	28.88	8.75	6.77	0.00	3.31	1.97	0.47	0.59	12.11	0.01	0.03	
202202092300	7.72	28.76	8.75	6.77	0.00	3.31	2.02	0.47	0.59	11.96	0.01	0.03	
202202100000	7.79	28.55	8.75	6.76	0.00	3.30	2.04	0.48	0.58	11.81	0.01	0.03	
202202100100	7.85	28.34	8.79	6.72	0.00	3.31	2.03	0.49	0.58	11.66	0.00	0.03	
202202100200	7.86	28.12	8.83	6.69	0.00	3.29	2.03	0.51	0.57	11.52	0.00	0.03	
202202100300	7.91	27.90	8.83	6.65	0.00	3.29	2.03	0.55	0.57	11.39	0.00	0.03	
202202100400	8.01	27.70	8.86	6.62	0.00	3.30	2.04	0.58	0.57	11.25	0.00	0.03	
202202100500	8.08	27.56	8.94	6.59	0.00	3.29	2.04	0.60	0.58	11.11	0.00	0.03	
202202100600	8.12	27.38	8.96	6.54	0.00	3.27	2.07	0.61	0.58	10.97	0.00	0.03	
202202100700	8.19	27.15	9.00	6.53	0.00	3.27	2.11	0.61	0.60	10.82	0.00	0.03	
202202100800	7.73	26.24	8.23	5.84	0.00	2.40	1.88	0.39	0.29	9.78	0.00	0.00	
202202100900	5.96	20.65	2.57	1.13	0.00	0.22	1.33	0.08	0.06	4.14	0.00	0.00	
202202101000	3.15	13.60	0.64	0.29	0.00	0.02	0.03	0.04	0.01	1.27	0.00	0.00	
202202101100	0.68	5.09	0.17	0.06	0.00	0.00	0.00	0.04	0.00	0.55	0.00	0.00	
202202101200	0.37	1.68	0.07	0.03	0.00	0.00	0.00	0.02	0.00	0.24	0.00	0.00	
202202101300	0.28	0.70	0.04	0.03	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	
202202101400	0.26	0.26	0.04	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202101500	0.20	0.13	0.04	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202101600	0.15	0.03	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202101700	0.10	0.00	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202101800	0.02	0.00	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202101900	0.00	0.00	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202102000	0.00	0.00	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202102100	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
202202102200	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
