a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 0.72 1.67 -9999 -9999 1
202202080100 0.72 1.67 -9999 -9999 1
202202080200 0.72 1.67 -9999 -9999 1
202202080300 0.73 1.88 -9999 -9999 1
202202080400 0.72 1.67 -9999 -9999 1
202202080500 0.72 1.67 -9999 -9999 1
202202080600 0.72 1.67 -9999 -9999 1
202202080700 0.72 1.67 -9999 -9999 1
202202080800 0.72 1.67 -9999 -9999 1
202202080900 0.67 0.82 -9999 -9999 1
202202081000 0.67 0.82 -9999 -9999 1
202202081100 0.71 1.47 -9999 -9999 1
202202081200 0.71 1.47 -9999 -9999 1
202202081300 0.71 1.47 -9999 -9999 1
202202081400 0.72 1.67 -9999 -9999 1
202202081500 0.72 1.67 -9999 -9999 1
202202081600 0.72 1.67 -9999 -9999 1
202202081700 0.7 1.29 -9999 -9999 1
202202081800 0.71 1.47 -9999 -9999 1
202202081900 0.71 1.47 -9999 -9999 1
202202082000 0.72 1.67 -9999 -9999 1
202202082100 0.72 1.67 -9999 -9999 1
202202082200 0.72 1.67 -9999 -9999 1
202202082300 0.73 1.88 -9999 -9999 1
202202090000 0.74 2.11 -9999 -9999 1
202202090100 0.73 1.88 -9999 -9999 1
202202090200 0.73 1.88 -9999 -9999 1
202202090300 0.73 1.88 -9999 -9999 1
202202090400 0.74 2.11 -9999 -9999 1
202202090500 0.74 2.11 -9999 -9999 1
202202090600 0.74 2.11 -9999 -9999 1
202202090700 0.74 2.11 -9999 -9999 1
202202090800 0.74 2.11 -9999 -9999 1
202202090900 0.73 1.88 -9999 -9999 1
202202091000 0.73 1.88 -9999 -9999 1
202202091100 0.73 1.88 -9999 -9999 1
202202091200 0.72 1.67 -9999 -9999 1
202202091300 0.72 1.67 -9999 -9999 1
202202091400 0.73 1.88 -9999 -9999 1
202202091500 0.74 2.11 -9999 -9999 1
202202091600 0.74 2.11 -9999 -9999 1
202202091700 0.73 1.88 -9999 -9999 1
202202091800 0.74 2.11 -9999 -9999 1
202202091900 0.74 2.11 -9999 -9999 1
202202092000 0.73 1.88 -9999 -9999 1
202202092100 0.74 2.11 -9999 -9999 1
202202092200 0.74 2.11 -9999 -9999 1
202202092300 0.74 2.11 -9999 -9999 1
202202100000 0.74 2.11 -9999 -9999 1
202202100100 0.74 2.11 -9999 -9999 1
202202100200 0.75 2.36 -9999 -9999 1
202202100300 0.74 2.11 -9999 -9999 1
202202100400 0.73 1.88 -9999 -9999 1
202202100500 0.74 2.11 -9999 -9999 1
