a1sDateVet a1dLivOssMean a1dQOssMean a1dLivOssMax a1dQOssMax flagSdD
202202080000 1.25 2.91 -9999 -9999 4
202202080100 1.25 2.91 -9999 -9999 4
202202080200 1.24 2.79 -9999 -9999 4
202202080300 1.25 2.91 -9999 -9999 4
202202080400 1.24 2.79 -9999 -9999 4
202202080500 1.24 2.79 -9999 -9999 4
202202080600 1.24 2.79 -9999 -9999 4
202202080700 1.24 2.79 -9999 -9999 4
202202080800 1.24 2.79 -9999 -9999 4
202202080900 1.25 2.91 -9999 -9999 4
202202081000 1.29 3.38 -9999 -9999 4
202202081100 1.32 3.8 -9999 -9999 4
202202081200 1.34 4.11 -9999 -9999 4
202202081300 1.36 4.46 -9999 -9999 4
202202081400 1.33 3.95 -9999 -9999 4
202202081500 1.31 3.65 -9999 -9999 4
202202081600 1.29 3.38 -9999 -9999 4
202202081700 1.26 3.02 -9999 -9999 4
202202081800 1.26 3.02 -9999 -9999 4
202202081900 1.25 2.91 -9999 -9999 4
202202082000 1.25 2.91 -9999 -9999 4
202202082100 1.25 2.91 -9999 -9999 4
202202082200 1.25 2.91 -9999 -9999 4
202202082300 1.24 2.79 -9999 -9999 4
202202090000 1.25 2.91 -9999 -9999 4
202202090100 1.25 2.91 -9999 -9999 4
202202090200 1.24 2.79 -9999 -9999 4
202202090300 1.25 2.91 -9999 -9999 4
202202090400 1.25 2.91 -9999 -9999 4
202202090500 1.24 2.79 -9999 -9999 4
202202090600 1.24 2.79 -9999 -9999 4
202202090700 1.25 2.91 -9999 -9999 4
202202090800 1.25 2.91 -9999 -9999 4
202202090900 1.27 3.14 -9999 -9999 4
202202091000 1.29 3.38 -9999 -9999 4
202202091100 1.33 3.95 -9999 -9999 4
202202091200 1.35 4.28 -9999 -9999 4
202202091300 1.34 4.11 -9999 -9999 4
202202091400 1.31 3.65 -9999 -9999 4
202202091500 1.29 3.38 -9999 -9999 4
202202091600 1.28 3.26 -9999 -9999 4
202202091700 1.24 2.79 -9999 -9999 4
202202091800 1.24 2.79 -9999 -9999 4
202202091900 1.24 2.79 -9999 -9999 4
202202092000 1.25 2.91 -9999 -9999 4
202202092100 1.27 3.14 -9999 -9999 4
202202092200 1.27 3.14 -9999 -9999 4
202202092300 1.27 3.14 -9999 -9999 4
202202100000 1.27 3.14 -9999 -9999 4
202202100100 1.27 3.14 -9999 -9999 4
202202100200 1.27 3.14 -9999 -9999 4
202202100300 1.27 3.14 -9999 -9999 4
202202100400 1.27 3.14 -9999 -9999 4
202202100500 1.27 3.14 -9999 -9999 4
202202100600 1.28 3.26 -9999 -9999 4
202202100700 1.28 3.26 -9999 -9999 4
202202100800 1.29 3.38 -9999 -9999 4
202202100900 1.31 3.65 -9999 -9999 4
202202101000 1.33 3.95 -9999 -9999 4
202202101100 1.31 3.65 -9999 -9999 4
202202101200 1.3 3.52 -9999 -9999 4
202202101300 1.29 3.38 -9999 -9999 4
202202101400 1.3 3.52 -9999 -9999 4
202202101500 1.29 3.38 -9999 -9999 4
202202101600 1.28 3.26 -9999 -9999 4
202202101700 1.24 2.79 -9999 -9999 4
